lines,treats,reps,box,x,y
8.DA,C,R1,box_1,1,1
6.FA,C,R1,box_1,1,2
1.FA,C,R1,box_1,1,3
7.HS,DR,R1,box_1,1,4
5.HS,C,R1,box_1,1,5
10.DA,DR,R1,box_1,1,6
11.DA,DR,R1,box_1,1,7
4.DA,HS,R1,box_1,1,8
2.DA,DR,R1,box_1,1,9
8.FA,DR,R1,box_1,1,10
12.HS,C,R1,box_1,2,1
1.DA,HS,R1,box_1,2,2
1.FA,HS,R1,box_1,2,3
4.HS,HS,R1,box_1,2,4
2.HS,HS,R1,box_1,2,5
2.HS,DR,R1,box_1,2,6
10.DA,C,R1,box_1,2,7
12.FA,HS,R1,box_1,2,8
2.DA,C,R1,box_1,2,9
1.DA,C,R1,box_1,2,10
8.DA,HS,R1,box_1,3,1
4.DA,C,R1,box_1,3,2
5.DA,HS,R1,box_1,3,3
3.DA,DR,R1,box_1,3,4
6.DA,C,R1,box_1,3,5
3.HS,DR,R1,box_1,3,6
12.FA,DR,R1,box_1,3,7
11.HS,C,R1,box_1,3,8
8.HS,DR,R1,box_1,3,9
11.DA,HS,R1,box_1,3,10
4.HS,C,R1,box_1,4,1
8.FA,HS,R1,box_1,4,2
6.FA,HS,R1,box_1,4,3
3.FA,HS,R1,box_1,4,4
5.HS,HS,R1,box_1,4,5
7.FA,DR,R1,box_1,4,6
2.FA,DR,R1,box_1,4,7
8.FA,C,R1,box_1,4,8
5.DA,C,R1,box_1,4,9
5.FA,DR,R1,box_1,4,10
12.DA,HS,R1,box_1,5,1
1.DA,DR,R1,box_1,5,2
7.HS,HS,R1,box_1,5,3
5.DA,DR,R1,box_1,5,4
10.DA,HS,R1,box_1,5,5
12.FA,C,R1,box_1,5,6
10.FA,DR,R1,box_1,5,7
2.FA,HS,R1,box_1,5,8
3.HS,C,R1,box_1,5,9
3.DA,C,R1,box_1,5,10
11.HS,HS,R1,box_1,6,1
7.FA,HS,R1,box_1,6,2
4.HS,DR,R1,box_1,6,3
3.DA,HS,R1,box_1,6,4
2.HS,C,R1,box_1,6,5
7.DA,DR,R1,box_1,6,6
5.FA,C,R1,box_1,6,7
1.HS,C,R1,box_1,6,8
8.HS,HS,R1,box_1,6,9
7.DA,C,R1,box_1,6,10
12.DA,C,R1,box_1,7,1
11.DA,C,R1,box_1,7,2
6.HS,HS,R1,box_1,7,3
8.HS,C,R1,box_1,7,4
2.FA,C,R1,box_1,7,5
5.FA,HS,R1,box_1,7,6
